pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4
none																			
single		1	1		1		1												
valkyrie		0	1		1	1	1	StrUI4	1	1	valkarieicon								
golem		0	1		1	1	1	StrUI0	1	3	earthgolumicon								
skeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon								
skeletonmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon								
revive		0	1		1	1	1	StrUI3	1	2	revivedicon								
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon		
dopplezon		0				1	1		1										
invis		0	1																
raven		0	1					strUI5		2	raven								
spiritwolf		0	1		1	1	1	strUI6	1	2	wolf								
fenris		0	1		1	1	1	UIFenirsui	1	2	wolf								
totem		0	1		1	1	1	strUI14	1	3	oaksage								
vine		0	1		1	1	1	strUI13	1	3	plaguepoppy								
grizzly		0	1		1	1	1	strUI7	1	2	bear								
shadowwarrior		0	1		1	1	1	UiShadowUI	1	1	shadowassassin								
assassintrap		0		1															
pettrap		0		1															
hydra		0		1															
totemd		0	1		1	1	1	strUI14	1	3	heartofwolverine								
totems		0	1		1	1	1	strUI14	1	3	spiritofbarbs								
vinec		0	1		1	1	1	strUI13	1	3	cycleoflife								
vinev		0	1		1	1	1	strUI13	1	3	vines								
golemb		0	1		1	1	1	StrUI0	1	3	bloodgolumicon								
golemm		0	1		1	1	1	StrUI0	1	3	metalgolumicon								
golemf		0	1		1	1	1	StrUI0	1	3	firegolumicon								
